"title","person","name"
"Capturing Semantic and Syntactic Information for Link Prediction in Knowledge Graphs","https://w3id.org/scholarlydata/person/chuanrun-yi","Chuanrun Yi"
"A User Interaction Demonstration For Exploring Medical Knowledge Graph","https://w3id.org/scholarlydata/person/chunyu-li","Chunyu Li"
"Summarizing News Articles using Question-and-Answer Pairs via Learning","https://w3id.org/scholarlydata/person/cong-yu","Cong Yu"
"Real-World Causal Relationship Discovery from Text","https://w3id.org/scholarlydata/person/constantine-lignos","Constantine Lignos"
"Reasoning and Querying Web-scale Open Data based on DL-LiteA in a Divide-and-Conquer Way","https://w3id.org/scholarlydata/person/cungen-cao","Cungen Cao"
"The Semantic Sensor Network Ontology, Revamped","https://w3id.org/scholarlydata/person/danh-lephuoc","Danh LePhuoc"
"Predicting Missing Links Using PyKEEN","https://w3id.org/scholarlydata/person/daniel-domingo-fernandez","Daniel Domingo-Fernandez"
"On the Use of Cloud and Semantic Web Technologies for Generative Design","https://w3id.org/scholarlydata/person/daniel-mercier","Daniel Mercier"
"DBpedia FlexiFusion - Best of Wikipedia > Wikidata > Your Data","https://w3id.org/scholarlydata/person/daniel-obraczka","Daniel Obraczka"
"Semantic Technologies for the Production and Publication of Open Data in ACI - Automobile Club d’Italia","https://w3id.org/scholarlydata/person/daniela-caltabiano","Daniela Caltabiano"
"Exploring Fact-checked Claims and their Descriptive Statistics","https://w3id.org/scholarlydata/person/darlene-brechtel","Darlene Brechtel"
"SWH 2019: Second International Workshop on Semantic Web Meets Health Data Management ","https://w3id.org/scholarlydata/person/dave-parry","Dave Parry"
"The RealEstateCore Ontology","https://w3id.org/scholarlydata/person/david-halleberg","David Hälleberg"
"Use of OWL and Semantic Web Technologies at Pinterest","https://w3id.org/scholarlydata/person/david-temple","David Temple"
"VLX-Stories: building an online Event Knowledge Base with Emerging Entity detection","https://w3id.org/scholarlydata/person/delia-fernandez","Dèlia Fernández"
"Incorporating Literals into Knowledge Graph Embeddings","https://w3id.org/scholarlydata/person/denis-lukovnikov","Denis Lukovnikov"
"Pretrained Transformers for Simple Question Answering","https://w3id.org/scholarlydata/person/denis-lukovnikov","Denis Lukovnikov"
"Learning to Rank Query Graphs for Complex Question Answering over Knowledge Graphs","https://w3id.org/scholarlydata/person/denis-lukovnikov","Denis Lukovnikov"
"Towards Semantically Structuring GitHub","https://w3id.org/scholarlydata/person/dennis-oliver-kubitza","Dennis Oliver Kubitza"
"SemanGit: A Linked Dataset from git","https://w3id.org/scholarlydata/person/dennis-oliver-kubitza","Dennis Oliver Kubitza"
"A Data Science Pipeline for Big Linked Earth Observation Data","https://w3id.org/scholarlydata/person/despina-athanasia-pantazi","Despina-Athanasia Pantazi"
"Use of OWL and Semantic Web Technologies at Pinterest","https://w3id.org/scholarlydata/person/dhananjay-shrouty","Dhananjay Shrouty"
"T2WML: A Cell-Based Language To Map Tables Into Wikidata Records","https://w3id.org/scholarlydata/person/divij-bhatia","Divij Bhatia"
"Non-Parametric Class Completeness Estimators for Collaborative Knowledge Graphs","https://w3id.org/scholarlydata/person/djellel-difallah","Djellel Difallah"
"AIRec: Attentive Intersection Model for Tag-Aware Recommendation","https://w3id.org/scholarlydata/person/dong-wang","Dong Wang"
"Business Driven Insight via a Schema-Centric Data Fabric","https://w3id.org/scholarlydata/person/dougal-watt","Dougal Watt"
"Towards the Bosch Materials Science Knowledge Base","https://w3id.org/scholarlydata/person/dragan-milchevski","Dragan Milchevski"
"Integration of Plot-based Ecology Data: A Semantic Approach","https://w3id.org/scholarlydata/person/edmond-chuc","Edmond Chuc"
"VLX-Stories: a Semantically Linked Event platform for media publishers","https://w3id.org/scholarlydata/person/elisenda-bou","Elisenda Bou"
"VLX-Stories: building an online Event Knowledge Base with Emerging Entity detection","https://w3id.org/scholarlydata/person/elisenda-bou","Elisenda Bou"
"Real-World Causal Relationship Discovery from Text","https://w3id.org/scholarlydata/person/elizabeth-boschee","Elizabeth Boschee"
"Semantic Technologies for the Production and Publication of Open Data in ACI - Automobile Club d’Italia","https://w3id.org/scholarlydata/person/emanuela-catoni","Emanuela Catoni"
"A Knowledge Graph for Ecotoxicological Risk Assessment and Effect Prediction","https://w3id.org/scholarlydata/person/erik-bryhn-myklebust","Erik Bryhn Myklebust"
"Knowledge Graph Embedding for Ecotoxicological Effect Prediction","https://w3id.org/scholarlydata/person/erik-bryhn-myklebust","Erik Bryhn Myklebust"
"Embedding OWL ontologies with OWL2Vec","https://w3id.org/scholarlydata/person/erik-bryhn-myklebust","Erik Bryhn Myklebust"
"The RealEstateCore Ontology","https://w3id.org/scholarlydata/person/erik-oskar-wallin","Erik Oskar Wallin"
"LongLife: a Platform for Personalized Search  for Health and Life Sciences","https://w3id.org/scholarlydata/person/erisa-terolli","Erisa Terolli"
"Use of OWL and Semantic Web Technologies at Pinterest","https://w3id.org/scholarlydata/person/evelyn-obamos","Evelyn Obamos"
"A Decentralized Provenance Network for Linked Open Data","https://w3id.org/scholarlydata/person/fabian-kirstein","Fabian Kirstein"
"The European Data Portal: Scalable Harvesting and Management of Linked Open Data","https://w3id.org/scholarlydata/person/fabian-kirstein","Fabian Kirstein"
